Current_Word,Next_Word,Levenshtein_Distance
200,metres,6
metres,away,6
away,middle,6
middle,elementary,9
elementary,schools,10
schools,hours,4
hours,children,6
children,use,7
use,net,3
net,cafes,4
cafes,also,4
also,tightly,7
tightly,regulated,7
regulated,china,8
china,long,4
long,worried,6
worried,net,6
net,cafes,4
cafes,unhealthy,8
unhealthy,influence,8
influence,young,7
young,people,5
people,12575,6
12575,cafes,5
cafes,shut,5
shut,three,4
three,months,6
months,october,6
october,december,4
december,china,7
china,also,5
also,tries,5
tries,dictate,6
dictate,types,6
types,computer,6
computer,games,6
games,people,6
people,play,5
play,limit,5
limit,amount,5
amount,violence,6
violence,people,6
people,exposed,5
exposed,net,6
net,cafes,4
cafes,hugely,5
hugely,popular,6
popular,china,6
china,relatively,9
relatively,high,9
high,cost,4
cost,computer,5
computer,hardware,8
hardware,means,7
means,people,5
people,pcs,5
pcs,homes,4
homes,first,5
first,time,4
time,chinese,5
chinese,government,8
government,moved,7
moved,net,4
net,cafes,4
cafes,operating,8
operating,within,7
within,strict,5
strict,guidelines,9
guidelines,100000,10
100000,net,6
net,cafes,4
cafes,country,6
country,required,7
required,use,6
use,software,7
software,controls,6
controls,websites,7
websites,users,6
users,see,3
see,logs,4
logs,sites,4
sites,people,6
people,visit,6
visit,also,4
also,kept,4
kept,laws,4
laws,net,4
net,cafe,4
cafe,opening,7
opening,hours,7
hours,use,4
use,introduced,8
introduced,2002,10
2002,following,9
following,fire,7
fire,one,3
one,cafe,3
cafe,killed,5
killed,25,6
25,people,6
people,crackdown,9
crackdown,following,8
following,blaze,8
blaze,authorities,10
authorities,moved,9
moved,clean,5
clean,net,4
net,cafes,4
cafes,demanded,6
demanded,get,7
get,permits,5
permits,operate,4
operate,august,6
august,2004,6
2004,chinese,7
chinese,authorities,8
authorities,shut,9
shut,700,4
700,websites,8
websites,arrested,6
arrested,224,8
224,people,6
people,crackdown,9
crackdown,net,9
net,porn,4
porn,time,4
time,introduced,8
introduced,new,8
new,controls,7
controls,block,7
block,overseas,8
overseas,sex,6
sex,sites,3
sites,reporters,6
reporters,without,8
without,borders,7
borders,group,6
group,said,5
said,report,6
report,chinese,7
chinese,government,8
government,technologies,12
technologies,e-mail,10
e-mail,interception,10
interception,net,9
net,censorship,9
censorship,among,9
among,highly,6
highly,developed,8
developed,world,7
microsoft,seeking,9
seeking,spyware,6
spyware,trojan,6
trojan,microsoft,7
microsoft,investigating,11
investigating,trojan,11
trojan,program,4
program,attempts,8
attempts,switch,8
switch,firms,5
firms,anti-spyware,11
anti-spyware,software,8
software,spyware,3
spyware,tool,7
tool,released,8
released,microsoft,8
microsoft,last,7
last,weeks,5
weeks,downloaded,9
downloaded,six,10
six,million,6
million,people,7
people,stephen,5
stephen,toulouse,8
toulouse,security,8
security,manager,8
manager,microsoft,8
microsoft,said,8
said,malicious,7
malicious,program,9
program,called,7
called,bankash-a,8
bankash-a,trojan,8
trojan,sent,6
sent,e-mail,6
e-mail,attachment,9
attachment,microsoft,9
microsoft,said,8
said,believe,6
believe,program,7
program,widespread,8
widespread,recommended,10
recommended,users,10
users,use,2
use,anti-virus,9
anti-virus,program,9
program,program,0
program,attempts,8
attempts,disable,8
disable,delete,5
delete,microsofts,9
microsofts,anti-spyware,11
anti-spyware,tool,11
tool,suppress,8
suppress,warning,8
warning,messages,8
messages,given,7
given,users,5
users,may,5
may,also,4
also,try,4
try,steal,4
steal,online,6
online,banking,4
banking,passwords,8
passwords,personal,6
personal,information,10
information,tracking,9
tracking,users,8
users,keystrokes,7
keystrokes,microsoft,9
microsoft,said,8
said,statement,7
statement,investigating,10
investigating,called,12
called,criminal,7
criminal,attack,8
attack,software,6
software,earlier,7
earlier,week,6
week,microsoft,9
microsoft,said,8
said,would,4
would,buy,4
buy,anti-virus,9
anti-virus,software,9
software,maker,7
maker,sybari,5
sybari,software,5
software,improve,7
improve,security,7
security,windows,8
windows,e-mail,7
e-mail,software,7
software,microsoft,9
microsoft,said,8
said,plans,4
plans,offer,5
offer,paid-for,6
paid-for,anti-virus,8
anti-virus,software,9
software,yet,7
yet,set,1
set,date,3
date,release,5
release,anti-spyware,10
anti-spyware,program,11
program,targeted,7
targeted,currently,6
currently,beta,7
beta,form,4
form,aims,4
aims,help,4
help,users,4
users,find,5
find,remove,6
remove,spyware,6
spyware,-,7
-,programs,8
programs,monitor,7
monitor,internet,7
internet,use,7
use,causes,3
causes,advert,5
advert,pop-ups,7
pop-ups,slow,7
slow,pcs,4
pcs,performance,9
digital,guru,6
guru,floats,6
floats,sub-100,7
sub-100,pc,7
pc,nicholas,7
nicholas,negroponte,8
negroponte,chairman,9
chairman,founder,8
founder,mits,7
mits,media,4
media,labs,5
labs,says,2
says,developing,10
developing,laptop,8
laptop,pc,5
pc,go,2
go,sale,4
sale,less,4
less,100,4
100,Â£53,3
Â£53,told,4
told,bbc,4
bbc,world,5
world,service,6
service,programme,7
programme,go,8
go,digital,6
digital,hoped,7
hoped,would,3
would,become,6
become,education,8
education,tool,7
tool,developing,9
developing,countries,9
countries,said,8
said,one,4
one,laptop,6
laptop,per,5
per,child,5
child,could,2
could,,5
,important,9
important,development,8
development,child,10
child,whole,3
whole,family,5
family,village,7
village,neighbourhood,12
neighbourhood,said,11
said,child,3
child,could,2
could,use,4
use,laptop,6
laptop,like,5
like,text,4
text,book,4
book,described,9
described,device,5
device,stripped,6
stripped,laptop,7
laptop,would,6
would,run,4
run,linux-based,10
linux-based,operating,11
operating,system,8
system,get,5
get,display,7
display,20,7
20,need,4
need,rear,3
rear,project,5
project,image,6
image,rather,5
rather,using,6
using,ordinary,6
ordinary,flat,7
flat,panel,5
panel,second,6
second,trick,6
trick,get,5
get,rid,3
rid,fat,3
fat,,3
,skinny,6
skinny,gain,4
gain,speed,5
speed,ability,7
ability,use,7
use,smaller,6
smaller,processors,9
processors,slower,7
slower,memory,6
memory,device,5
device,probably,8
probably,exported,8
exported,kit,7
kit,parts,4
parts,assembled,9
assembled,locally,8
locally,keep,7
keep,costs,5
costs,mr,5
mr,negroponte,9
negroponte,said,10
said,profit,5
profit,venture,7
venture,though,6
though,recognised,9
recognised,manufacturers,12
manufacturers,components,12
components,would,9
would,making,6
making,money,5
money,1995,5
1995,mr,4
mr,negroponte,9
negroponte,published,10
published,bestselling,11
bestselling,digital,10
digital,widely,6
widely,seen,5
seen,predicting,8
predicting,digital,8
digital,age,6
age,concept,6
concept,based,6
based,experiments,10
experiments,us,10
us,state,5
state,maine,4
maine,children,6
children,given,5
given,laptop,6
laptop,computers,7
computers,take,8
take,home,3
home,work,3
work,idea,4
idea,popular,6
popular,amongst,7
amongst,children,8
children,initially,8
initially,received,8
received,resistance,8
resistance,teachers,9
teachers,problems,6
problems,laptops,7
laptops,getting,6
getting,broken,6
broken,however,6
however,mr,6
mr,negroponte,9
negroponte,adapted,8
adapted,idea,5
idea,work,4
work,cambodia,7
cambodia,set,8
set,two,3
two,schools,6
schools,together,8
together,wife,7
wife,gave,3
gave,children,7
children,laptops,8
laptops,put,6
put,25,3
25,laptops,7
laptops,three,7
three,years,5
years,ago,4
ago,,3
,one,3
one,broken,4
broken,kids,6
kids,cherish,6
cherish,things,5
things,also,6
also,tv,4
tv,telephone,8
telephone,games,8
games,machine,6
machine,textbook,8
textbook,mr,8
mr,negroponte,9
negroponte,wants,8
wants,laptops,4
laptops,become,6
become,common,5
common,mobile,5
mobile,phones,6
phones,conceded,6
conceded,ambitious,9
ambitious,nokia,8
nokia,make,4
make,200,4
200,million,7
million,cell,5
cell,phones,6
phones,year,6
year,us,4
us,claim,5
claim,going,5
going,make,5
make,200,4
200,million,7
million,laptops,7
laptops,big,7
big,number,5
number,talking,7
talking,three,6
three,five,4
five,years,5
years,talking,7
talking,months,7
months,plans,5
plans,distributing,11
distributing,end,11
end,2006,4
2006,already,7
already,discussion,10
discussion,chinese,9
chinese,education,9
education,ministry,8
ministry,expected,7
expected,make,7
make,large,3
large,order,4
order,china,5
china,spend,4
spend,17,5
17,per,3
per,child,5
child,per,5
per,year,2
year,textbooks,8
textbooks,thats,6
thats,five,5
five,six,3
six,years,5
years,distribute,9
distribute,sell,9
sell,laptops,7
laptops,quantities,7
quantities,one,8
one,million,6
million,ministries,7
ministries,education,8
education,thats,7
thats,cheaper,5
cheaper,marketing,8
marketing,overheads,8
overheads,go,9
go,away,4
technology,gets,9
gets,creative,6
creative,bug,8
bug,hi-tech,7
hi-tech,arts,6
arts,worlds,4
worlds,time,6
time,danced,5
danced,around,5
around,offered,6
offered,creative,8
creative,technical,8
technical,help,8
help,required,7
required,often,7
often,help,5
help,come,4
come,form,3
form,corporate,7
corporate,art,7
art,sponsorship,10
sponsorship,infrastructure,12
infrastructure,provision,13
provision,dance,9
dance,growing,7
growing,intimate,8
intimate,hi-tech,7
hi-tech,firms,6
firms,look,5
look,creative,8
creative,industries,8
industries,inspiration,8
inspiration,vice,10
vice,versa,4
versa,uk,5
uk,telco,5
telco,bt,5
bt,serious,7
serious,idea,6
idea,launched,7
launched,connected,5
connected,world,7
world,initiative,10
initiative,idea,8
idea,says,4
says,bt,4
bt,shape,5
shape,21st,5
21st,century,6
century,model,7
model,help,4
help,cement,5
cement,art,5
art,technology,10
technology,business,9
business,worlds,7
worlds,together,7
together,hoping,7
hoping,understand,9
understand,creative,8
creative,industry,8
industry,natural,7
natural,thirst,6
thirst,broadband,9
broadband,technology,10
technology,said,10
said,frank,4
frank,stone,4
stone,head,5
head,bts,4
bts,business,6
business,sector,7
sector,programmes,10
programmes,looks,8
looks,several,7
several,centres,5
centres,excellence,8
excellence,telco,7
telco,set,4
set,institutions,10
institutions,organisations,7
organisations,one,11
one,focused,5
focused,creative,8
creative,industries,8
industries,mark,9
mark,initiatives,10
initiatives,launch,10
launch,major,5
major,international,11
international,art,11
art,installation,10
installation,open,11
open,15,4
15,april,5
april,brussels,7
brussels,exhibit,8
exhibit,madrid,6
madrid,later,5
later,summer,4
summer,created,6
created,using,7
using,telcos,6
telcos,technology,7
technology,incubating,9
incubating,research,9
research,development,9
development,arm,10
arm,including,9
including,sophisticated,12
sophisticated,graphics,10
graphics,rendering,8
rendering,program,8
program,using,7
using,3d,5
3d,graphics,8
graphics,engine,7
engine,type,5
type,commonly,8
commonly,used,8
used,gaming,6
gaming,bafta-winning,9
bafta-winning,artists,10
artists,langlands,7
langlands,,9
,bell,4
bell,created,6
created,virtual,7
virtual,story-based,9
story-based,3d,10
3d,model,4
model,brussels,6
brussels,coudenberg,8
coudenberg,cellars,7
cellars,recently,7
recently,excavated,7
excavated,thought,8
thought,remnants,7
remnants,coudenberg,9
coudenberg,palace,9
palace,historical,9
historical,seat,8
seat,european,6
european,power,6
power,3d,5
3d,world,4
world,navigated,8
navigated,using,8
using,joystick,6
joystick,offers,7
offers,immersive,6
immersive,experience,7
experience,landscape,9
landscape,historically,10
historically,river,10
river,running,6
running,bricked,7
bricked,19th,7
19th,century,6
century,river,6
river,integral,6
integral,citys,7
citys,survival,7
survival,hundreds,7
hundreds,years,6
years,equally,6
equally,essential,8
essential,city,8
city,disappeared,10
disappeared,said,8
said,artists,6
artists,hope,7
hope,uncovering,8
uncovering,river,7
river,greater,4
greater,understand,8
understand,connections,8
connections,past,10
past,present,4
present,appreciate,6
appreciate,flow,10
flow,modernity,9
modernity,concealing,7
concealing,revealing,4
revealing,river,6
river,senne,5
senne,previous,7
previous,works,7
works,used,5
used,quake,4
quake,game,3
game,graphics,6
graphics,engine,7
engine,game,4
game,engine,4
engine,core,5
core,component,6
component,video,8
video,game,4
game,handles,5
handles,graphics,6
graphics,rendering,8
rendering,game,8
game,ai,3
ai,objects,7
objects,behave,6
behave,relate,3
relate,game,4
game,time-consuming,12
time-consuming,expensive,10
expensive,create,7
create,engines,6
engines,licensed,6
licensed,handle,7
handle,graphics-intensive,15
graphics-intensive,games,14
games,bts,4
bts,engine,6
engine,tara,6
tara,total,3
total,abstract,6
abstract,rendering,8
rendering,architecture,10
architecture,development,12
development,since,10
since,2001,5
2001,used,4
used,recreate,7
recreate,virtual,7
virtual,interactive,9
interactive,models,10
models,buildings,7
buildings,planners,7
planners,also,7
also,used,4
used,2003,4
2003,encounter,9
encounter,urban-based,10
urban-based,pervasive,9
pervasive,game,7
game,combined,6
combined,virtual,8
virtual,play,6
play,conjunction,11
conjunction,physical,10
physical,on-the-street,11
on-the-street,action,12
action,artists,4
artists,wanted,6
wanted,video,5
video,interactive,10
interactive,elements,9
elements,worlds,7
worlds,new,6
new,features,7
features,added,6
added,tara,5
tara,order,5
order,handle,5
handle,complex,5
complex,data,7
data,sets,3
sets,collaboration,12
collaboration,art,10
art,digital,6
digital,technology,9
technology,means,8
means,new,4
new,many,4
many,keen,4
keen,coders,5
coders,designers,6
designers,games,7
games,makers,3
makers,animators,5
animators,argue,8
argue,create,4
create,art,4
art,tools,5
tools,self-expression,14
self-expression,given,13
given,person,5
person,street,5
street,enabling,8
enabling,people,7
people,take,5
take,photos,6
photos,phone,3
phone,upload,4
upload,web,6
web,instance,8
instance,creativity,9
creativity,become,9
become,integral,7
integral,part,7
part,technology,10
technology,orange,8
orange,expressionist,11
expressionist,exhibition,8
exhibition,last,9
last,year,4
year,example,6
example,displayed,7
displayed,thousands,8
thousands,picture,9
picture,messages,7
messages,people,6
people,uk,6
uk,create,6
create,interactive,7
interactive,installation,7
installation,technology,11
technology,way,9
way,unleashing,9
unleashing,creativity,8
creativity,massive,8
massive,potential,8
potential,least,8
least,gives,5
gives,people,6
people,something,8
something,technology,9
technology,big,9
big,businesses,8
businesses,know,9
know,good,3
good,get,3
get,creative,6
creative,vein,6
vein,art,4
art,world,4
world,fantastically,12
fantastically,rich,11
rich,said,4
said,mr,4
mr,stone,5
stone,creative,6
creative,people,6
people,ideas,6
ideas,means,3
means,traditional,9
traditional,companies,10
companies,like,8
like,bt,4
bt,want,3
want,get,3
get,1997,4
1997,2002,4
2002,creative,8
creative,industry,8
industry,brought,7
brought,Â£21,7
Â£21,billion,7
billion,london,5
london,alone,4
alone,industry,8
industry,growing,8
growing,6,7
6,year,4
year,partnership,10
partnership,artists,7
artists,technologists,9
technologists,part,12
part,trying,6
trying,understand,8
understand,creative,8
creative,potential,6
potential,technologies,10
technologies,like,10
like,broadband,9
broadband,net,9
net,according,9
according,mr,8
mr,stone,5
stone,putting,5
putting,art,6
art,galleries,7
galleries,museums,7
museums,online,7
online,said,5
said,everyone,8
everyone,best,7
best,seat,2
seat,house,5
house,asking,6
asking,technology,8
technology,role,8
role,solving,5
solving,problem,7
problem,broadband,6
broadband,penetration,10
penetration,reaching,9
reaching,100,8
100,uk,3
uk,businesses,9
businesses,stake,8
stake,technology,10
technology,want,9
want,give,4
give,people,5
people,reasons,6
reasons,want,5
want,use,4
use,creative,7
creative,drive,4
drive,purely,5
purely,altruistic,9
altruistic,obviously,9
obviously,industries,10
industries,borrowing,9
borrowing,strategies,8
strategies,creative,7
creative,ideas,6
ideas,together,7
together,result,7
result,better,5
better,business,6
business,practices,7
practices,creative,5
creative,industries,8
industries,patent,9
patent,ideas,5
ideas,tech,4
tech,companies,9
companies,trying,8
trying,outside-in,8
outside-in,thinking,7
thinking,creating,5
creating,future,7
future,cultural,4
cultural,drive,8
drive,economy,7
economy,said,7
said,mr,4
mr,stone,5
wi-fi,web,4
web,reaches,6
reaches,farmers,5
farmers,peru,5
peru,network,5
network,community,9
community,computer,5
computer,centres,6
centres,linked,5
linked,wireless,6
wireless,technology,9
technology,providing,9
providing,helping,6
helping,hand,5
hand,poor,4
poor,farmers,6
farmers,peru,5
peru,pilot,4
pilot,scheme,6
scheme,huaral,6
huaral,valley,6
valley,80,6
80,kilometres,10
kilometres,north,8
north,capital,6
capital,lima,5
lima,aims,2
aims,offer,5
offer,6000-strong,10
6000-strong,community,11
community,up-to-date,9
up-to-date,information,9
information,agricultural,11
agricultural,market,10
market,prices,5
prices,trends,4
trends,agricultural,11
agricultural,information,11
information,project,9
project,farmers,6
farmers,chancay-huaral,12
chancay-huaral,valley,12
valley,also,4
also,provides,8
provides,vital,6
vital,links,4
links,local,4
local,organisations,12
organisations,charge,12
charge,water,5
water,irrigation,8
irrigation,enabling,9
enabling,coordinate,8
coordinate,actions,9
actions,13000,7
13000,rural,5
rural,inhabitants,10
inhabitants,well,11
well,18000,5
18000,students,8
students,region,7
region,also,5
also,benefit,7
benefit,telecoms,6
telecoms,infrastructure,13
infrastructure,14,14
14,telecentres,11
telecentres,uses,9
uses,free,3
free,open,3
open,source,5
source,software,5
software,affordable,7
affordable,computer,9
computer,equipment,8
equipment,network,9
network,three,6
three,years,5
years,making,6
making,officially,9
officially,inaugurated,10
inaugurated,september,10
september,non-government,12
non-government,organisation,12
organisation,cepes,11
cepes,peruvian,7
peruvian,centre,7
centre,social,6
social,studies,5
studies,led,6
led,200000,6
200000,project,7
project,also,7
also,backed,5
backed,local,5
local,institutions,12
institutions,education,8
education,agriculture,9
agriculture,ministries,9
ministries,european,10
european,development,7
development,organisations,12
organisations,plan,11
plan,includes,7
includes,training,8
training,computers,9
computers,internet,8
internet,skills,8
skills,operators,8
operators,users,6
users,system,5
system,said,5
said,carlos,5
carlos,saldarriaga,9
saldarriaga,technical,10
technical,coordinator,9
coordinator,cepes,10
cepes,farmers,5
farmers,also,6
also,taking,5
taking,extra,6
extra,lessons,6
lessons,apply,7
apply,new,5
new,information,10
information,make,9
make,plots,5
plots,land,4
land,board,3
board,irrigation,9
irrigation,users,10
users,runs,4
runs,computer,7
computer,centres,6
centres,aims,6
aims,make,4
make,network,7
network,self-sustainable,14
self-sustainable,within,13
within,three,5
three,years,5
years,cash,4
cash,generated,8
generated,using,9
using,telecentres,10
telecentres,internet,8
internet,cafes,7
cafes,one,4
one,key,3
key,elements,7
elements,project,6
project,agricultural,10
agricultural,information,11
information,system,10
system,flagship,7
flagship,huaralorg,8
huaralorg,website,9
website,farmers,7
farmers,find,6
find,prices,5
prices,local,5
local,produce,6
produce,well,7
well,information,11
information,topics,9
topics,ranging,6
ranging,plague,6
plague,prevention,9
prevention,latest,8
latest,farming,6
farming,techniques,9
techniques,system,9
system,also,5
also,helps,4
helps,inhabitants,9
inhabitants,chancay-huaral,11
chancay-huaral,valley,12
valley,organise,7
organise,vital,7
vital,irrigation,8
irrigation,systems,9
systems,water,5
water,main,4
main,element,6
element,unites,6
unites,precious,6
precious,element,7
element,perus,6
perus,coastal,7
coastal,areas,5
areas,scarce,5
scarce,therefore,7
therefore,necessary,7
necessary,proper,8
proper,irrigation,9
irrigation,systems,9
systems,make,6
make,mr,3
mr,saldarriaga,10
saldarriaga,told,9
told,bbc,4
bbc,news,4
news,website,5
website,information,10
information,network,9
network,also,6
also,allows,3
allows,farmers,5
farmers,look,7
look,beyond,5
beyond,region,4
region,share,6
share,experiences,9
experiences,colleagues,9
colleagues,rest,9
rest,peru,3
peru,even,4
even,around,5
around,world,4
world,cepes,5
cepes,says,4
says,involvement,11
involvement,farmers,9
farmers,key,6
key,projects,7
projects,success,6
success,throughout,9
throughout,last,9
last,three,5
three,years,5
years,people,5
people,provided,5
provided,vital,6
vital,thrust,6
thrust,project;,7
project;,feel,7
feel,belongs,6
belongs,said,7
said,mr,4
mr,saldarriaga,10
saldarriaga,community,10
community,training,7
training,sessions,7
sessions,attended,8
attended,equal,7
equal,number,6
number,men,4
men,women,2
women,perfect,6
perfect,showcase,8
showcase,enthusiasm,7
enthusiasm,excellent,9
excellent,response,8
response,mainly,7
mainly,young,5
young,people,5
people,also,6
also,great,5
great,feedback,6
feedback,trained,8
trained,40,7
40,50-year,6
50-year,old,7
old,women,4
women,seeing,5
seeing,computer,8
computer,first,7
first,time,4
time,lives,3
lives,far,5
far,huaral,4
huaral,programme,7
programme,promoters,6
promoters,say,9
say,experience,10
experience,positive,7
positive,already,8
already,planning,7
planning,spreading,5
spreading,model,8
model,among,4
among,farmers,5
farmers,organisations,11
organisations,peru,13
peru,pilot,4
pilot,project,5
project,keen,6
keen,cloning,6
cloning,potential,7
potential,places,8
places,underlined,8
underlined,mr,9
mr,saldarriaga,10
saldarriaga,cepes,11
cepes,researcher,8
researcher,recalls,7
recalls,happened,8
happened,cuyo,8
cuyo,50-family,9
50-family,community,7
community,electricity,8
electricity,construction,8
construction,local,10
local,telecentre,8
