Current_Word,Next_Word,Levenshtein_distance
bought,recently,7
recently,market,7
market,new,5
new,machine,6
machine,also,6
also,questions,7
questions,whether,7
whether,mac,7
mac,mini,3
mini,work,4
work,old,3
old,peripherals,10
peripherals,display,9
display,keyboard,7
keyboard,mouse,7
mouse,mac,4
mac,mini,3
mini,also,4
also,fell,4
fell,short,5
short,media,5
media,server,5
server,video,5
video,recorder,6
recorder,well,7
well,store,5
store,digital,7
digital,music,6
music,movies,4
movies,images,4
images,people,6
people,accumulate,8
accumulate,said,9
said,mr,4
mr,fogg,4
fogg,mac,4
mac,mini,3
mini,quite,4
quite,ready,5
ready,yet,4
yet,said,4
said,right,5
right,connectors,9
connectors,fit,9
fit,tv,3
tv,screen,6
screen,enough,6
enough,storage,5
storage,said,5
said,mr,4
mr,fogg:,5
fogg:,much,5
much,computer,6
computer,one,6
one,dissenting,9
dissenting,opinion,8
opinion,came,7
came,brian,5
brian,gammage,6
gammage,vice-president,13
vice-president,research,11
research,analysts,8
analysts,gartner,7
gartner,said:,6
said:,dont,5
dont,think,4
think,changes,5
changes,world,7
world,although,7
although,mac,8
mac,mini,3
mini,cheap,5
cheap,apple,5
apple,computer,6
computer,still,8
still,expensive,8
expensive,compared,9
compared,many,6
many,pcs,4
pcs,also,3
also,said,4
said,appealed,6
appealed,categories,8
categories,consumers,8
consumers,care,7
care,buying,6
buying,home,6
home,computer,5
computer,pc,7
pc,world,5
world,pile-em-high,12
pile-em-high,sell-em-cheap,7
sell-em-cheap,market,11
market,said,5
said,pretty,6
pretty,interchangeable,13
interchangeable,since,12
since,days,5
days,apple,5
apple,ruled,4
ruled,personal,7
personal,computing,9
computing,world,8
world,market,5
market,share,4
share,long,5
long,slow,3
slow,decline,6
decline,said,6
said,every,5
every,years,4
years,something,8
something,give,8
give,market,5
market,share,4
share,kick,5
kick,starts,6
starts,go,6
go,back,4
back,said,3
said,mr,4
mr,gammage,6
gammage,release,5
release,mac,6
mac,mini,3
mini,fit,3
fit,perfectly,7
perfectly,trend,7
trend,said,4
rivals,Â£400,6
Â£400,apple,5
apple,mac,5
mac,mini,3
mini,cheapest,8
cheapest,apple,6
apple,computer,6
computer,ever,6
ever,though,6
though,cheap,5
cheap,mac,4
mac,compare,5
compare,pcs,6
pcs,cost,3
cost,amount,4
amount,dotlife,7
dotlife,tries,5
tries,find,4
find,get,4
get,money,4
money,stick,5
stick,beige,4
beige,box,4
box,extremely,9
extremely,small,7
small,computer,7
computer,designed,7
designed,bring,6
bring,macintosh,7
macintosh,masses,6
masses,apple,5
apple,offer,5
offer,less,5
less,powerful,7
powerful,mac,8
mac,mini,3
mini,Â£339,4
Â£339,Â£399,1
Â£399,models,6
models,14ghz,6
14ghz,power,5
power,pc,4
pc,chip,4
chip,80,4
80,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,combined,6
combined,cd,6
cd,burner/dvd,9
burner/dvd,player,8
player,comes,5
comes,equipped,7
equipped,usb,7
usb,firewire,8
firewire,ports,7
ports,peripheral,8
peripheral,connections,11
connections,ethernet,10
ethernet,port,6
port,broadband,8
broadband,port,8
port,standard,7
standard,video,7
video,output,6
output,audio/headphone,13
audio/headphone,jackthe,13
jackthe,machine,4
machine,comes,6
comes,mac,4
mac,os,3
os,x,2
x,apple,5
apple,operating,8
operating,system,8
system,software,6
software,suite,5
suite,ilife,3
ilife,includes,5
includes,itunes,4
itunes,iphoto,5
iphoto,imovie,5
imovie,idvd,4
idvd,garageband,9
garageband,monitor,10
monitor,keyboard,7
keyboard,mouse,7
mouse,also,4
also,built-in,7
built-in,support,7
support,wireless,8
wireless,technology,9
technology,speakers,10
speakers,lack,7
lack,dvd,4
dvd,burner,6
burner,omission,8
omission,age,8
age,backing-up,8
backing-up,important,10
important,software,7
software,wireless,8
wireless,dvd,8
dvd,burner,6
burner,added,5
added,extra,5
extra,cost,5
cost,apple,5
apple,targeting,8
targeting,people,8
people,already,7
already,main,6
main,computer,7
computer,want,7
want,upgrade,6
upgrade,-,7
-,especially,10
especially,pc,8
pc,users,5
users,used,2
used,apple,5
apple,ipod,4
ipod,compact,6
compact,stylish,7
stylish,mac,7
mac,mini,3
mini,would,5
would,look,4
look,place,4
place,home,4
home,apple,4
apple,computers,7
computers,famously,7
famously,user,6
user,friendly,7
friendly,offer,7
offer,much,5
much,better,6
better,network,4
network,security,7
security,means,7
means,fewer,4
fewer,viruses,6
viruses,package,7
package,software,6
software,comes,7
comes,machine,6
machine,best,7
best,money,5
money,buy,4
buy,mac,3
mac,mini,3
mini,box,4
box,dont,3
dont,already,7
already,monitor,7
monitor,etc,6
etc,adding,6
adding,package,6
package,sees,7
sees,value,5
value,money,5
money,begin,5
begin,dwindle,6
dwindle,macs,7
macs,dont,4
dont,offer,5
offer,upgrade,7
upgrade,flexibility,11
flexibility,pc,11
pc,machines,7
machines,specifications,11
specifications,lack,13
lack,horse,5
horse,power,4
power,tasks,5
tasks,high-end,8
high-end,video,6
video,editing,6
editing,games,7
games,mac,4
mac,mini,3
mini,puts,4
puts,macintosh,7
macintosh,within,7
within,reach,6
reach,everyone,7
everyone,apple,7
apple,spokesman,7
spokesman,said,8
said,bring,4
bring,customers,9
customers,platform,7
platform,especially,9
especially,pc,8
pc,users,5
users,owners,3
owners,entry-level,10
entry-level,machine,10
machine,designed,6
designed,basic,6
basic,home,5
home,use,3
use,26ghz,5
26ghz,intel,5
intel,celeron,6
celeron,chip,6
chip,40,4
40,gigabyte,8
gigabyte,hard,7
hard,drive,5
drive,256mb,5
256mb,combined,7
combined,cd,6
cd,burner/dvd,9
burner/dvd,player,8
player,comes,5
comes,equipped,7
equipped,17,8
17,inch,4
inch,monitor,6
monitor,keyboard,7
keyboard,mouse,7
mouse,machine,5
machine,6,7
6,usb,3
usb,ports,5
ports,ethernet,7
ethernet,port,6
port,broadband,8
broadband,connection,10
connection,theres,9
theres,also,6
also,port,4
port,standard,7
standard,video,7
video,output,6
output,machine,7
machine,comes,6
comes,windows,6
windows,xp,7
xp,home,4
home,edition,7
edition,provides,7
provides,basic,7
basic,home,5
home,tools,4
tools,media,5
media,player,6
player,word,6
word,processor,8
processor,dvd,9
dvd,burner,6
burner,wireless,6
wireless,components,8
components,built,9
built,wireless,7
wireless,dvd,8
dvd,burner,6
burner,added,5
added,extra,5
extra,cost,5
cost,homes,4
homes,small,5
small,offices,7
offices,including,9
including,looking,6
looking,add,7
add,low,3
low,cost,3
cost,second,4
second,computer,8
computer,cost,5
cost,clear,4
clear,advantage,8
advantage,dell,8
dell,provides,7
provides,enough,7
enough,power,5
power,software,5
software,basic,8
basic,gaming,4
gaming,internet,7
internet,surfing,7
surfing,easily,6
easily,upgradeable,9
upgradeable,bigger,9
bigger,hard,6
hard,drive,5
drive,better,5
better,sound,6
sound,graphics,8
graphics,cards,6
cards,added,4
added,dell,4
dell,hardly,5
hardly,stylish,7
stylish,hard,7
hard,drive,5
drive,small,5
small,size,4
size,anyone,5
anyone,wanting,4
wanting,store,6
store,photos,5
photos,decent,6
decent,sized,5
sized,digital,6
digital,music,6
music,collection,9
collection,machine,8
machine,small,6
small,businesses,9
businesses,people,9
people,want,6
want,second,5
second,computer,8
computer,basic,8
basic,home,5
home,use,3
use,perhaps,7
perhaps,kids,6
kids,bedroom,6
bedroom,spokesman,8
spokesman,dell,8
dell,said,4
said,think,4
think,offer,5
offer,better,4
better,value,5
value,realise,4
realise,extras,6
extras,needed,6
needed,mac,6
mac,mini,3
mini,desktop,7
desktop,computer,7
computer,pc,7
pc,pro,2
pro,magazine,8
magazine,dubbed,8
dubbed,best,5
best,performer,8
performer,group,7
group,test,5
test,machines,7
machines,cost,7
cost,Â£399,4
Â£399,Â£469,2
Â£469,including,9
including,vat,9
vat,good,4
good,basic,5
basic,pc,4
pc,according,8
according,pc,8
pc,pro,2
pro,superb,4
superb,upgrade,5
upgrade,potential,9
potential,money,7
money,get,4
get,18ghz,4
18ghz,amd,5
amd,sempron,6
sempron,processor,8
processor,512mb,9
512mb,ram,4
ram,120gb,5
120gb,hard,5
hard,drive,5
drive,dvd,3
dvd,writer,6
writer,16-inch,6
16-inch,monitor,6
monitor,mouse,5
mouse,keyboard,7
keyboard,windows,7
windows,xp2,7
xp2,much,4
much,basics,5
basics,cannot,5
cannot,handle,4
handle,3d,5
3d,graphics,8
graphics,firewire,7
firewire,slots,8
slots,limited,6
limited,budget,6
budget,want,5
want,machine,5
machine,add,6
add,improve,7
improve,cash,7
cash,allows,6
allows,cheap,6
cheap,plenty,5
plenty,room,6
room,improve,5
improve,could,7
could,end,4
end,making,5
making,expensive,8
expensive,long,8
long,run,3
run,good,4
good,basic,5
basic,workhorse,9
workhorse,pretty,8
pretty,monitor,6
monitor,rather,6
rather,flat-panel,7
flat-panel,display,9
display,upgrades,8
upgrades,offered,7
offered,jal,7
jal,basic,4
basic,model,5
model,pricey,5
pricey,might,5
might,find,4
find,want,3
want,chop,4
chop,change,4
change,quite,5
quite,quickly,4
quickly,nick,4
nick,ross,4
ross,deputy,6
deputy,labs,6
labs,editor,6
editor,pc,6
pc,pro,2
pro,said,4
said,important,8
important,point,5
point,buying,4
buying,cheap,6
cheap,cheerful,5
cheerful,pc,8
pc,upgrade,6
upgrade,path,5
path,interest,7
interest,switched,7
switched,processor,9
processor,power,5
power,graphics,7
graphics,sound,8
sound,cards,5
cards,thats,4
thats,makes,4
makes,difference,9
difference,games,9
games,even,4
even,manufacturers,12
manufacturers,going,13
going,marketing,6
marketing,machines,6
machines,faster,6
faster,said,5
said,theyll,6
theyll,emphasise,8
emphasise,different,9
different,features,7
features,computer,6
computer,built,7
built,bits,3
bits,buy,3
buy,put,2
put,together,7
together,surprisingly,12
surprisingly,good,12
good,pc,4
pc,sporting,7
sporting,amd,8
amd,athlon,5
athlon,xp,6
xp,2500,4
2500,processor,9
processor,512,9
512,megabytes,9
megabytes,ram,8
ram,graphics,6
graphics,card,7
card,128,4
128,ram,3
ram,board,4
board,plus,5
plus,tv,4
tv,40,2
40,gb,2
gb,hard,4
hard,drive,5
drive,cd-writer,5
cd-writer,dvd,8
dvd,player,6
player,windows,7
windows,xp,7
xp,home,4
home,anything,7
anything,else,8
else,youre,4
youre,building,8
building,buy,6
buy,software,8
software,want,6
want,install,6
install,trouble-shooting,14
trouble-shooting,tech,13
tech,support,7
support,building,7
building,machine,6
machine,easier,5
easier,used,4
used,need,2
need,read,2
read,specifications,12
specifications,carefully,13
carefully,make,7
make,sure,3
sure,parts,4
parts,work,4
work,together,7
together,experienced,9
experienced,keen,8
keen,pc,4
pc,users,5
users,building,7
building,pc,8
pc,upgrading,8
upgrading,one,8
one,great,4
great,way,4
way,improve,7
improve,understanding,12
understanding,works,12
works,cheap,5
cheap,specify,6
specify,exactly,5
exactly,want,5
want,get,3
get,thrill,6
thrill,putting,6
putting,together,7
together,bigger,5
bigger,thrill,6
thrill,everything,8
everything,works,9
works,built,5
built,wont,4
wont,able,4
able,much,4
much,start,5
start,buying,6
buying,software,8
software,starts,5
starts,go,6
go,wrong,4
wrong,might,5
might,take,5
take,lot,4
lot,fixing,6
fixing,gavin,4
gavin,cox,5
cox,excellent,8
excellent,buildyourownorguk,16
buildyourownorguk,website,16
website,put,6
put,it:,3
it:,tough,5
tough,obtain/build,10
obtain/build,pc,12
pc,ever,4
ever,compact,7
compact,charming,7
charming,mac,7
mac,mini,3
mini,performance-wise,13
performance-wise,cutting,14
cutting,edge,7
edge,barely,5
barely,entry-level,9
entry-level,todays,10
todays,market,6
market,mac,4
mac,mini,3
mini,believe,6
believe,hold,6
hold,even,4
even,pull,4
pull,tricks,6
tricks,says,5
says,gavin,4
gavin,cox,5
cox,good,3
good,news,4
news,machine,7
machine,eminently,8
eminently,expandable,7
expandable,contrast,9
contrast,says,7
says,mr,4
mr,cox,3
cox,mac,3
mac,mini,3
mini,almost,5
almost,disposable,8
speak,easy,4
easy,plan,4
plan,media,5
media,players,7
players,music,7
music,film,5
film,fans,3
fans,able,4
able,control,7
control,digital,6
digital,media,5
media,players,7
players,speaking,6
speaking,plans,5
plans,development,9
development,two,10
two,us,3
us,firms,4
firms,scansoft,7
scansoft,gracenote,7
gracenote,developing,9
developing,technology,8
technology,give,10
give,people,5
people,access,6
access,film,6
film,music,5
music,libraries,8
libraries,simply,8
simply,voice,6
voice,control,6
control,want,5
want,give,4
give,people,5
people,hands-free,9
hands-free,access,9
access,digital,7
digital,music,6
music,films,5
films,car,5
car,home,4
home,move,2
move,huge,3
huge,media,5
media,libraries,8
libraries,players,7
players,make,5
make,finding,7
finding,single,5
single,songs,3
songs,hard,5
hard,voice,5
voice,command-and-control,17
command-and-control,unlocks,17
unlocks,potential,9
potential,devices,8
devices,store,6
store,large,4
large,digital,7
digital,music,6
music,collections,10
collections,said,10
said,ross,4
ross,blanchard,9
blanchard,vice,8
vice,president,7
president,business,6
business,development,10
development,gracenote,9
gracenote,applications,10
applications,radically,9
radically,change,8
change,car,4
car,entertainment,12
entertainment,experience,8
experience,allowing,8
allowing,drivers,8
drivers,enjoy,7
enjoy,entire,4
entire,music,5
music,collections,10
collections,without,9
without,ever,7
ever,taking,6
taking,hands,5
hands,steering,8
steering,wheel,6
wheel,added,4
added,gracenote,8
gracenote,provides,8
provides,music,7
music,library,7
library,information,9
information,millions,9
millions,different,7
different,albums,9
albums,jukeboxes,7
jukeboxes,apples,7
apples,itunes,4
itunes,new,4
new,technology,9
technology,designed,9
designed,people,6
people,play,5
play,individual,9
individual,song,10
song,movie,4
movie,collection,8
collection,saying,9
saying,name,5
name,users,5
users,also,5
also,able,3
able,request,6
request,music,6
music,fits,5
fits,mood,4
mood,occasion,7
occasion,film,7
film,saying,5
saying,actors,6
actors,name,6
name,speech,5
speech,natural,7
natural,fit,6
fit,todays,6
todays,consumer,7
consumer,devices,7
devices,particularly,10
particularly,mobile,10
mobile,environments,10
environments,said,11
said,alan,4
alan,schwartz,7
schwartz,vice,8
vice,president,7
president,speechworks,9
speechworks,division,10
division,scansoft,7
scansoft,pairing,7
pairing,voice,6
voice,technologies,10
technologies,gracenotes,8
gracenotes,vast,8
vast,music,4
music,database,8
database,bring,8
bring,benefits,6
benefits,speech,7
speech,technologies,11
technologies,host,10
host,consumer,6
consumer,devices,7
devices,enable,6
enable,people,4
people,access,6
access,media,6
media,ways,5
ways,theyve,5
theyve,never,4
never,imagined,7
imagined,two,8
two,firms,5
firms,say,5
say,developing,10
developing,technology,8
technology,languages,9
languages,english,7
english,users,6
users,also,5
also,able,3
able,get,4
get,information,10
information,favourite,9
favourite,song,8
song,listening,6
listening,asking:,6
asking:,portable,8
portable,players,7
players,becoming,8
becoming,popular,8
popular,cars,6
cars,number,6
number,auto,5
auto,firms,5
firms,working,6
working,apple,7
apple,device,5
device,interfaces,7
interfaces,control,8
control,firms,6
firms,ipod,4
ipod,music,5
music,player,6
player,tens,6
tens,thousands,6
thousands,songs,6
songs,able,5
able,stored,5
stored,one,4
one,player,5
player,voice,5
voice,control,6
control,would,6
would,make,5
make,finding,7
finding,elusive,6
elusive,track,7
track,elvis,5
elvis,presley,6
presley,much,7
much,easier,6
easier,firms,6
firms,gave,5
gave,indication,9
indication,whether,9
whether,ipod,7
ipod,media,5
media,player,6
player,mind,6
mind,use,4
use,voice,4
voice,control,6
control,technology,7
technology,companies,10
companies,estimate,8
estimate,technology,9
technology,available,10
available,fourth,9
fourth,quarter,5
quarter,2005,7
us,peer-to-peer,12
peer-to-peer,pirates,8
pirates,convicted,7
convicted,first,8
first,convictions,10
convictions,piracy,10
piracy,peer-to-peer,10
peer-to-peer,networks,10
networks,handed,8
handed,us,6
us,new,3
new,yorker,5
yorker,william,7
william,trowbridge,9
trowbridge,texan,9
texan,michael,6
michael,chicoine,6
chicoine,pleaded,8
pleaded,guilty,7
guilty,charges,7
charges,infringed,6
infringed,copyright,7
copyright,illegally,9
illegally,sharing,9
sharing,music,6
music,movies,4
movies,software,7
software,two,6
two,men,3
men,faced,4
faced,charges,5
charges,following,9
following,raids,8
raids,august,5
august,suspected,7
suspected,pirates,7
pirates,fbi,7
fbi,pair,3
pair,face,3
face,jail,3
jail,terms,5
terms,five,5
five,years,5
years,250000,6
250000,Â£130000,3
Â£130000,fine,7
fine,statement,8
statement,us,9
us,department,10
department,justice,9
justice,said,5
said,two,4
two,men,3
men,operated,7
operated,central,7
central,hubs,7
hubs,piracy,6
piracy,community,8
community,organised,7
organised,across,8
across,direct,5
direct,connect,4
connect,peer-to-peer,10
peer-to-peer,network,10
network,piracy,7
piracy,group,5
group,called,6
called,underground,10
underground,network,8
network,membership,8
membership,demanded,8
demanded,users,8
users,share,4
share,one,4
one,100,3
100,gigabytes,9
gigabytes,files,6
files,direct,4
direct,connect,4
connect,allows,7
allows,users,5
users,set,3
set,central,5
central,servers,6
servers,act,7
act,co-ordinating,12
co-ordinating,spots,11
spots,sharers,5
sharers,users,4
users,would,5
would,swap,5
swap,files,5
files,films,1
films,music,5
music,exchanging,9
exchanging,data,9
data,network,6
network,investigation,10
investigation,fbi,12
fbi,agents,6
agents,reportedly,9
reportedly,downloaded,9
downloaded,84,10
84,movies,6
movies,40,6
40,software,8
software,programs,7
programs,13,8
13,games,5
games,178,5
178,sound,5
sound,recordings,8
recordings,five,9
five,hubs,4
hubs,made,4
made,larger,4
larger,piracy,5
piracy,group,5
group,raids,5
raids,organised,6
organised,umbrella,9
umbrella,operation,8
operation,digital,8
digital,gridlock,7
gridlock,aimed,7
aimed,fighting,7
fighting,criminal,7
criminal,copyright,7
copyright,theft,8
theft,peer-to-peer,10
peer-to-peer,networks,10
networks,total,6
total,six,5
six,raids,4
raids,carried,5
carried,august,6
august,five,6
five,homes,4
homes,suspected,8
suspected,copyright,9
copyright,thieves,9
thieves,one,6
one,net,2
net,service,6
service,firm,6
firm,department,8
department,justice,9
justice,said,5
said,men,4
men,pleaded,6
pleaded,guilty,7
guilty,one,6
one,count,3
count,conspiracy,8
conspiracy,commit,7
commit,felony,6
felony,copyright,9
copyright,infringement,9
infringement,also,12
also,pleaded,6
pleaded,guilty,7
guilty,acting,6
acting,commercial,9
commercial,advantage,10
advantage,two,8
two,men,3
men,due,3
due,sentenced,8
sentenced,29,9
29,april,5
format,wars,5
wars,could,5
could,confuse,4
confuse,users,6
users,technology,10
technology,firms,10
firms,sony,5
sony,philips,7
philips,matsushita,9
matsushita,samsung,7
samsung,developing,8
developing,common,8
common,way,6
way,stop,4
stop,people,4
people,pirating,7
pirating,digital,6
digital,music,6
music,video,5
video,firms,4
firms,want,5
want,make,3
make,system,5
system,ensures,5
ensures,files,5
files,play,4
play,hardware,7
hardware,make,6
make,also,4
also,thwarts,6
thwarts,illegal,7
illegal,copying,7
copying,move,6
move,could,4
could,mean,5
mean,confusion,8
confusion,consumers,5
consumers,already,9
already,faced,5
faced,many,4
many,different,8
different,conflicting,9
conflicting,content,6
content,control,3
control,systems,6
systems,experts,6
experts,warned,7
warned,say,5
say,guarantees,9
guarantees,system,8
system,even,5
even,prevent,3
prevent,piracy,6
piracy,currently,7
currently,many,7
many,online,5
online,stores,6
stores,wrap,5
wrap,downloadable,10
downloadable,files,11
files,own-brand,9
own-brand,control,7
control,system,6
system,means,6
means,played,5
played,small,5
small,number,5
number,media,6
media,players,7
players,systems,5
systems,limit,7
limit,people,6
people,files,5
files,download,7
download,known,6
known,digital,7
digital,rights,4
rights,management,9
management,systems,8
systems,setting,5
setting,alliance,7
alliance,work,8
work,common,5
common,control,4
control,system,6
system,firms,6
firms,said,5
said,hope,4
hope,end,4
end,current,5
current,fragmentation,10
fragmentation,file,11
file,formats,6
formats,joint,5
joint,statement,7
statement,firms,8
firms,said,5
said,wanted,4
wanted,let,5
let,consumers,8
consumers,enjoy,8
enjoy,appropriately,11
appropriately,licensed,12
licensed,video,6
video,music,5
music,device,4
device,independent,8
independent,originally,10
originally,obtained,7
obtained,content,6
content,firms,7
firms,hope,5
hope,also,4
also,make,4
make,harder,4
harder,consumers,7
consumers,make,8
make,illegal,6
illegal,copies,7
copies,music,5
music,movies,4
movies,digital,6
digital,content,7
content,bought,5
bought,called,6
called,marlin,4
marlin,joint,5
joint,development,8
development,association,11
association,alliance,8
alliance,define,5
define,basic,5
basic,specifications,12
specifications,every,13
every,device,4
device,made,5
made,electronics,11
electronics,firms,9
firms,conform,5
conform,marlin,7
marlin,built,5
built,technology,9
technology,rights,9
rights,management,9
management,firm,9
firm,intertrust,9
intertrust,well,9
well,earlier,6
earlier,drm,6
drm,system,5
system,developed,8
developed,group,8
group,known,4
known,coral,5
coral,consortium,7
consortium,move,9
move,widely,5
widely,seen,5
seen,way,4
way,four,4
four,firms,4
firms,decide,6
decide,destiny,4
destiny,content,5
content,control,3
control,systems,6
systems,instead,4
instead,sign,6
sign,pushed,5
pushed,apple,5
apple,microsoft,9
microsoft,confusingly,10
confusingly,consumers,7
consumers,technology,9
technology,comes,8
comes,alliance,8
alliance,sit,7
sit,alongside,7
alongside,content,7
content,control,3
control,systems,6
systems,rival,7
rival,firms,4
firms,microsoft,6
microsoft,apple,9
apple,many,5
many,ways,3
ways,different,9
different,drm,7
drm,systems,6
systems,akin,7
akin,different,8
different,physical,9
physical,formats,8
formats,betamax,6
betamax,vhs,7
vhs,consumers,8
consumers,seen,7
seen,past,4
past,said,3
said,ian,3
ian,fogg,4
fogg,personal,7
personal,technology,8
technology,broadband,10
broadband,analyst,8
analyst,jupiter,7
jupiter,research,8
research,difference,8
difference,fragmented,8
fragmented,said,8
said,two-horse,9
two-horse,race,8
race,five,3
five,six,3
six,seven,4
seven,even,1
even,eight-horse,10
eight-horse,race,10
race,mr,4
mr,fogg,4
fogg,said,4
said,consumers,8
consumers,careful,8
careful,buying,7
buying,digital,6
digital,content,7
content,ensure,6
ensure,would,5
would,play,5
play,devices,7
devices,said,6
said,currently,9
currently,even,7
even,incompatibilities,16
incompatibilities,within,15
within,drm,6
drm,families,7
families,although,8
although,initiatives,10
initiatives,microsofts,9
microsofts,plays,9
plays,sure,5
sure,program,6
program,could,6
could,help,4
help,remove,5
remove,uncertainty,10
uncertainty,said,9
said,life,4
life,likely,3
likely,confusing,9
confusing,consumers,5
consumers,time,7
time,come,2
